clientes_ativos,faturamento_mensal,faturamento_acumulado,anos_empresa,tipo_servico,ticket_medio,mix_receita,canais_vendas,churn,parcerias,investimento_externo,branding_reputacao,network_time,uso_tecnologia,roadmap_produto,nps,eficiencia_operacional,escala_tecnologica,financas_unidade,headcount,experiencia_lideranca,treinamento,rotatividade_time,governanca_financeira,score_total
2817,1755538,161833,4.9,Serviço,43975.2,Receita diversificada,1,0.391,Nenhuma,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Médio,Não existe,92,Quase tudo,Parcialmente,"Sim, regularmente",126,Experiência parcial,Regularmente,0.486,DRE e auditoria,53.66
3338,3082,2288765,8.5,Produto,887.72,3–5 clientes >50%,5,0.077,Algumas,Não,Não reconhecida,Ocasionalmente,Alto,Parcial,52,Parcialmente,Não,"Sim, regularmente",97,Sem experiência,Nunca,0.088,DRE e auditoria,62.76
2375,5297,91466,9.8,Serviço,405.35,1–2 clientes >50%,1,0.391,Muitas,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Alto,Não existe,65,Parcialmente,Sim,Não,26,Experiência forte,Nunca,0.292,Controles básicos,59.33
2769,372856,5464208,7.3,Serviço,499.49,Receita diversificada,2,0.049,Nenhuma,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Médio,Claro e executado,4,Quase nada,Parcialmente,Não,182,Experiência parcial,Nunca,0.407,Não existem controles,40.75
2330,75026,93615,8.7,Produto,4865.72,1–2 clientes >50%,3,0.305,Algumas,Série A+,Não reconhecida,Ocasionalmente,Alto,Parcial,64,Quase nada,Parcialmente,Não,50,Experiência forte,Às vezes,0.463,Não existem controles,41.66
374,132862,309418,3.6,Serviço,49556.36,Receita diversificada,3,0.067,Algumas,Seed/Pré-Série A,Não reconhecida,Não,Médio,Não existe,43,Parcialmente,Parcialmente,Não,87,Experiência parcial,Regularmente,0.148,Controles básicos,64.32
534,587854,3177859,2.9,Produto,887.05,Receita diversificada,2,0.078,Muitas,Não,Reconhecimento forte,Ocasionalmente,Baixo,Parcial,87,Quase nada,Não,"Sim, regularmente",135,Experiência parcial,Às vezes,0.396,DRE e auditoria,70.23
1350,155106,859180,0.6,Serviço,1718.42,3–5 clientes >50%,4,0.134,Algumas,Seed/Pré-Série A,Não reconhecida,Não,Baixo,Parcial,-7,Quase nada,Sim,"Sim, regularmente",63,Sem experiência,Nunca,0.474,DRE e auditoria,54.23
1411,33793,16093721,9.0,Serviço,8626.49,Receita diversificada,2,0.201,Nenhuma,Não,Algum reconhecimento,Ocasionalmente,Baixo,Não existe,71,Parcialmente,Parcialmente,Não,19,Experiência parcial,Regularmente,0.072,Controles básicos,44.4
1973,3698,340544,6.5,Produto,29.11,Receita diversificada,1,0.279,Poucas,Seed/Pré-Série A,Reconhecimento forte,Não,Baixo,Não existe,56,Quase nada,Parcialmente,Não,60,Sem experiência,Nunca,0.054,DRE e auditoria,41.65
2841,217426,236995,1.4,Produto,646.9,Receita diversificada,4,0.147,Muitas,Série A+,Não reconhecida,"Sim, forte",Baixo,Parcial,70,Quase nada,Não,"Sim, regularmente",174,Experiência forte,Às vezes,0.007,Não existem controles,46.91
3940,1551250,13926907,4.6,Produto,4639.44,Receita diversificada,1,0.353,Nenhuma,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Alto,Claro e executado,16,Quase nada,Sim,"Sim, regularmente",47,Sem experiência,Regularmente,0.372,Controles básicos,46.69
1811,51568,59292,0.4,Produto,1867.12,3–5 clientes >50%,3,0.184,Poucas,Não,Algum reconhecimento,Não,Médio,Parcial,98,Quase nada,Não,"Sim, regularmente",118,Experiência forte,Às vezes,0.046,Não existem controles,41.37
2967,321537,69101,3.9,Serviço,3273.58,1–2 clientes >50%,2,0.099,Poucas,Seed/Pré-Série A,Reconhecimento forte,Não,Alto,Claro e executado,-9,Quase tudo,Parcialmente,Algumas,138,Experiência parcial,Nunca,0.311,Controles básicos,52.72
4029,406115,13964040,3.1,Serviço,10480.23,1–2 clientes >50%,1,0.314,Nenhuma,Série A+,Reconhecimento forte,Não,Baixo,Claro e executado,71,Quase nada,Não,Algumas,43,Experiência parcial,Às vezes,0.385,Não existem controles,32.93
4659,2350,16923926,6.7,Produto,827.03,1–2 clientes >50%,5,0.338,Algumas,Série A+,Algum reconhecimento,Ocasionalmente,Baixo,Claro e executado,7,Parcialmente,Sim,Algumas,196,Sem experiência,Regularmente,0.333,DRE e auditoria,52.04
1714,434277,896727,6.9,Serviço,6530.51,Receita diversificada,2,0.277,Nenhuma,Série A+,Reconhecimento forte,"Sim, forte",Alto,Claro e executado,93,Quase tudo,Parcialmente,Não,21,Experiência parcial,Regularmente,0.394,Não existem controles,38.95
1531,680308,155951,9.3,Serviço,1088.71,1–2 clientes >50%,4,0.238,Poucas,Série A+,Reconhecimento forte,Não,Alto,Claro e executado,88,Parcialmente,Sim,"Sim, regularmente",7,Experiência parcial,Às vezes,0.323,Não existem controles,41.86
925,397531,2856996,6.5,Produto,4748.97,Receita diversificada,4,0.355,Muitas,Série A+,Reconhecimento forte,"Sim, forte",Alto,Claro e executado,4,Quase tudo,Parcialmente,Não,4,Sem experiência,Nunca,0.097,DRE e auditoria,59.37
3744,16781,12043546,4.2,Serviço,963.18,1–2 clientes >50%,1,0.2,Poucas,Série A+,Algum reconhecimento,"Sim, forte",Baixo,Claro e executado,58,Quase tudo,Sim,Algumas,198,Experiência parcial,Às vezes,0.253,Não existem controles,37.72
826,420940,793795,6.7,Serviço,245.29,1–2 clientes >50%,1,0.312,Nenhuma,Seed/Pré-Série A,Reconhecimento forte,Não,Alto,Claro e executado,88,Quase nada,Sim,Algumas,29,Experiência parcial,Nunca,0.219,Não existem controles,35.57
2226,2280,876959,4.1,Serviço,2002.46,Receita diversificada,5,0.08,Algumas,Série A+,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,7,Quase nada,Não,"Sim, regularmente",113,Sem experiência,Às vezes,0.097,Controles básicos,53.53
128,56449,16630713,5.2,Produto,4455.69,1–2 clientes >50%,1,0.19,Algumas,Não,Algum reconhecimento,Não,Baixo,Não existe,-6,Quase tudo,Não,Algumas,181,Experiência forte,Nunca,0.091,Não existem controles,38.73
316,480019,917797,7.4,Produto,505.56,3–5 clientes >50%,4,0.169,Poucas,Série A+,Não reconhecida,Não,Alto,Parcial,24,Quase tudo,Parcialmente,"Sim, regularmente",8,Sem experiência,Regularmente,0.315,Controles básicos,55.77
4277,5304,950110,2.8,Produto,1851.52,1–2 clientes >50%,5,0.188,Muitas,Não,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,72,Parcialmente,Sim,Não,17,Experiência parcial,Nunca,0.271,Não existem controles,43.01
2608,376593,918899,0.4,Serviço,146.02,1–2 clientes >50%,2,0.221,Nenhuma,Série A+,Não reconhecida,Não,Alto,Parcial,65,Parcialmente,Sim,Não,64,Experiência parcial,Às vezes,0.126,Controles básicos,46.46
3860,37329,2815804,2.4,Produto,53.08,1–2 clientes >50%,5,0.031,Algumas,Não,Algum reconhecimento,Não,Baixo,Não existe,44,Quase tudo,Sim,Não,6,Experiência forte,Às vezes,0.281,DRE e auditoria,69.69
3476,357136,7731917,8.0,Serviço,992.41,Receita diversificada,5,0.067,Muitas,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Médio,Não existe,2,Parcialmente,Parcialmente,Não,11,Experiência parcial,Às vezes,0.476,Não existem controles,48.17
2335,495878,15176866,5.6,Produto,12.97,3–5 clientes >50%,5,0.14,Poucas,Aceleradora/Anjo,Reconhecimento forte,Não,Médio,Parcial,34,Quase tudo,Não,Não,171,Experiência parcial,Às vezes,0.193,DRE e auditoria,58.74
4167,322833,861779,7.1,Serviço,1200.5,3–5 clientes >50%,1,0.382,Algumas,Aceleradora/Anjo,Algum reconhecimento,Não,Médio,Claro e executado,-1,Quase nada,Sim,Não,108,Sem experiência,Regularmente,0.192,DRE e auditoria,49.18
3003,8303,595982,0.1,Serviço,1348.12,1–2 clientes >50%,1,0.232,Muitas,Série A+,Não reconhecida,Não,Médio,Parcial,95,Quase tudo,Sim,Não,169,Experiência forte,Nunca,0.042,Não existem controles,43.46
2660,56301,862896,1.4,Produto,255.73,1–2 clientes >50%,5,0.051,Poucas,Aceleradora/Anjo,Algum reconhecimento,Não,Alto,Claro e executado,75,Quase nada,Sim,Não,69,Sem experiência,Regularmente,0.273,Não existem controles,42.38
3383,181223,479142,0.5,Produto,115.79,Receita diversificada,1,0.063,Nenhuma,Série A+,Algum reconhecimento,Não,Médio,Claro e executado,97,Quase tudo,Parcialmente,Algumas,161,Sem experiência,Às vezes,0.027,Não existem controles,40.48
4175,498613,1999396,1.7,Produto,732.52,3–5 clientes >50%,4,0.311,Muitas,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Médio,Parcial,75,Quase tudo,Parcialmente,"Sim, regularmente",180,Sem experiência,Nunca,0.113,Não existem controles,45.31
1367,413115,83508,1.0,Produto,1210.0,3–5 clientes >50%,5,0.307,Algumas,Série A+,Algum reconhecimento,Não,Médio,Não existe,23,Quase nada,Sim,Algumas,131,Sem experiência,Às vezes,0.351,Controles básicos,50.35
993,1247,879656,3.0,Serviço,46441.19,1–2 clientes >50%,3,0.276,Nenhuma,Não,Algum reconhecimento,Ocasionalmente,Médio,Claro e executado,92,Quase nada,Parcialmente,Não,150,Experiência parcial,Regularmente,0.456,DRE e auditoria,42.31
1455,58214,894307,8.1,Serviço,1262.05,Receita diversificada,5,0.081,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Baixo,Parcial,0,Quase tudo,Não,Não,26,Sem experiência,Nunca,0.365,Não existem controles,36.26
1619,1849256,69289,5.9,Produto,4325.96,3–5 clientes >50%,1,0.16,Algumas,Seed/Pré-Série A,Algum reconhecimento,"Sim, forte",Baixo,Parcial,5,Quase tudo,Não,Algumas,198,Experiência forte,Regularmente,0.168,Controles básicos,58.24
3692,1365073,4017488,1.4,Produto,821.86,1–2 clientes >50%,4,0.038,Muitas,Seed/Pré-Série A,Reconhecimento forte,Não,Baixo,Parcial,41,Parcialmente,Sim,"Sim, regularmente",65,Experiência forte,Às vezes,0.039,Não existem controles,51.96
3938,422506,841772,3.0,Serviço,29551.35,1–2 clientes >50%,1,0.049,Poucas,Série A+,Não reconhecida,"Sim, forte",Médio,Claro e executado,83,Quase nada,Não,Algumas,27,Sem experiência,Às vezes,0.139,Controles básicos,52.66
4715,318161,9859991,3.0,Produto,344.12,1–2 clientes >50%,4,0.087,Poucas,Série A+,Não reconhecida,"Sim, forte",Alto,Não existe,13,Quase nada,Parcialmente,Algumas,24,Experiência parcial,Às vezes,0.407,Não existem controles,42.32
3107,199901,6057025,4.0,Serviço,561.4,3–5 clientes >50%,2,0.371,Algumas,Série A+,Não reconhecida,"Sim, forte",Baixo,Claro e executado,-7,Quase nada,Parcialmente,"Sim, regularmente",164,Experiência forte,Nunca,0.494,Não existem controles,39.42
4757,1867408,1067076,2.7,Serviço,8914.76,1–2 clientes >50%,1,0.353,Nenhuma,Seed/Pré-Série A,Não reconhecida,Não,Alto,Claro e executado,31,Parcialmente,Sim,Algumas,18,Sem experiência,Às vezes,0.074,Controles básicos,44.11
683,1586463,2933343,3.1,Serviço,15627.69,1–2 clientes >50%,3,0.325,Algumas,Série A+,Não reconhecida,"Sim, forte",Baixo,Claro e executado,83,Quase nada,Parcialmente,Não,25,Experiência parcial,Regularmente,0.318,DRE e auditoria,56.01
2285,376089,314140,4.9,Produto,2723.84,3–5 clientes >50%,5,0.002,Poucas,Não,Não reconhecida,Ocasionalmente,Baixo,Parcial,85,Parcialmente,Sim,"Sim, regularmente",144,Sem experiência,Regularmente,0.14,DRE e auditoria,69.68
3577,5454,146848,5.6,Serviço,354.75,3–5 clientes >50%,3,0.392,Poucas,Não,Algum reconhecimento,"Sim, forte",Médio,Parcial,55,Quase tudo,Parcialmente,Não,146,Experiência parcial,Nunca,0.018,DRE e auditoria,49.39
4596,9428,758395,0.7,Serviço,150.74,1–2 clientes >50%,5,0.366,Algumas,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Baixo,Claro e executado,57,Quase tudo,Parcialmente,Algumas,44,Experiência forte,Nunca,0.028,Controles básicos,52.04
34,212296,10012971,8.0,Produto,4352.96,1–2 clientes >50%,5,0.366,Muitas,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Médio,Parcial,47,Parcialmente,Parcialmente,Algumas,68,Experiência forte,Nunca,0.296,Não existem controles,43.48
3040,14627,17075922,7.4,Serviço,248.59,1–2 clientes >50%,5,0.399,Algumas,Não,Reconhecimento forte,Ocasionalmente,Baixo,Claro e executado,16,Quase tudo,Sim,Algumas,1,Experiência parcial,Às vezes,0.03,Não existem controles,39.04
1586,519170,4014982,5.9,Serviço,166.53,3–5 clientes >50%,4,0.124,Algumas,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Baixo,Parcial,40,Quase tudo,Parcialmente,"Sim, regularmente",86,Experiência parcial,Às vezes,0.225,Não existem controles,46.47
1828,14195,784914,3.3,Produto,44.47,Receita diversificada,4,0.074,Algumas,Não,Algum reconhecimento,Não,Médio,Claro e executado,-2,Quase tudo,Parcialmente,"Sim, regularmente",70,Experiência forte,Nunca,0.268,Não existem controles,44.26
1486,9488,3463580,0.2,Serviço,38078.57,3–5 clientes >50%,1,0.364,Algumas,Série A+,Reconhecimento forte,"Sim, forte",Baixo,Parcial,96,Quase tudo,Sim,Algumas,79,Experiência forte,Às vezes,0.25,DRE e auditoria,60.25
2082,4282,15648,7.8,Produto,1965.93,1–2 clientes >50%,5,0.218,Muitas,Série A+,Reconhecimento forte,Ocasionalmente,Baixo,Claro e executado,34,Quase tudo,Não,Algumas,50,Experiência forte,Nunca,0.3,Não existem controles,41.14
1412,624760,8621280,8.3,Produto,29.2,1–2 clientes >50%,4,0.293,Muitas,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Alto,Claro e executado,18,Parcialmente,Não,"Sim, regularmente",175,Experiência parcial,Às vezes,0.269,Controles básicos,58.78
1889,46634,673541,0.2,Produto,706.06,3–5 clientes >50%,5,0.357,Algumas,Não,Algum reconhecimento,Não,Médio,Claro e executado,88,Quase tudo,Sim,"Sim, regularmente",178,Experiência forte,Regularmente,0.484,DRE e auditoria,67.28
4676,27753,183198,9.5,Produto,70.64,3–5 clientes >50%,1,0.286,Algumas,Não,Não reconhecida,Não,Médio,Claro e executado,82,Quase tudo,Parcialmente,"Sim, regularmente",111,Experiência parcial,Às vezes,0.069,Não existem controles,41.94
3150,1858,3552955,6.2,Serviço,1086.17,3–5 clientes >50%,4,0.391,Nenhuma,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Médio,Parcial,-10,Quase tudo,Sim,Algumas,85,Experiência parcial,Às vezes,0.14,DRE e auditoria,43.76
2684,855627,240257,8.3,Serviço,1478.13,1–2 clientes >50%,5,0.033,Muitas,Seed/Pré-Série A,Não reconhecida,Não,Alto,Claro e executado,6,Quase tudo,Sim,"Sim, regularmente",105,Experiência parcial,Regularmente,0.168,DRE e auditoria,79.88
1903,203524,4953215,4.1,Serviço,544.76,Receita diversificada,2,0.16,Nenhuma,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,22,Quase tudo,Parcialmente,Não,170,Sem experiência,Regularmente,0.221,DRE e auditoria,50.04
2147,1704057,1394975,0.6,Produto,4248.34,3–5 clientes >50%,2,0.314,Muitas,Seed/Pré-Série A,Algum reconhecimento,Ocasionalmente,Alto,Não existe,25,Parcialmente,Sim,"Sim, regularmente",7,Experiência forte,Regularmente,0.474,DRE e auditoria,68.82
1556,14448,80014,3.6,Produto,81.07,1–2 clientes >50%,4,0.121,Nenhuma,Não,Reconhecimento forte,"Sim, forte",Baixo,Não existe,15,Parcialmente,Parcialmente,"Sim, regularmente",197,Experiência parcial,Às vezes,0.448,Não existem controles,33.94
2211,1363281,173120,6.8,Produto,232.94,Receita diversificada,4,0.181,Nenhuma,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Alto,Parcial,4,Quase tudo,Parcialmente,Algumas,21,Experiência parcial,Às vezes,0.467,Controles básicos,53.32
3756,1443809,4177571,4.4,Serviço,1710.41,Receita diversificada,1,0.198,Nenhuma,Série A+,Reconhecimento forte,"Sim, forte",Alto,Não existe,8,Parcialmente,Parcialmente,"Sim, regularmente",65,Experiência parcial,Regularmente,0.36,Não existem controles,40.58
2166,13937,68511,2.2,Serviço,1768.12,3–5 clientes >50%,3,0.376,Muitas,Aceleradora/Anjo,Algum reconhecimento,"Sim, forte",Médio,Não existe,79,Quase nada,Parcialmente,Não,105,Sem experiência,Nunca,0.427,Não existem controles,39.82
1156,18043,10811357,7.3,Produto,662.65,1–2 clientes >50%,3,0.24,Algumas,Não,Não reconhecida,Ocasionalmente,Baixo,Não existe,0,Quase nada,Parcialmente,Não,161,Experiência forte,Às vezes,0.071,Controles básicos,48.96
287,12018,3527832,3.7,Produto,1250.58,1–2 clientes >50%,3,0.084,Poucas,Não,Algum reconhecimento,Ocasionalmente,Médio,Não existe,6,Quase nada,Não,Não,177,Experiência forte,Nunca,0.438,Controles básicos,48.22
3596,7712,648757,9.7,Produto,44.56,Receita diversificada,4,0.213,Poucas,Seed/Pré-Série A,Algum reconhecimento,Não,Alto,Parcial,-4,Quase tudo,Não,Não,85,Sem experiência,Às vezes,0.008,DRE e auditoria,44.31
1905,1108971,4339110,0.1,Produto,14.88,3–5 clientes >50%,3,0.264,Algumas,Série A+,Algum reconhecimento,Ocasionalmente,Médio,Não existe,56,Quase tudo,Não,Algumas,106,Experiência forte,Às vezes,0.004,Não existem controles,43.0
4121,56779,13098629,3.7,Produto,252.08,1–2 clientes >50%,2,0.174,Muitas,Não,Algum reconhecimento,"Sim, forte",Médio,Não existe,46,Quase nada,Não,"Sim, regularmente",137,Experiência parcial,Regularmente,0.021,Não existem controles,43.91
2053,29319,909332,1.7,Produto,4206.46,3–5 clientes >50%,4,0.012,Algumas,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Alto,Parcial,-8,Parcialmente,Não,Não,189,Sem experiência,Às vezes,0.083,DRE e auditoria,58.71
1886,76697,453850,7.9,Serviço,1771.39,1–2 clientes >50%,3,0.028,Poucas,Série A+,Não reconhecida,"Sim, forte",Baixo,Parcial,28,Parcialmente,Parcialmente,Não,16,Sem experiência,Regularmente,0.101,Não existem controles,39.38
2077,409459,880430,5.9,Produto,246.16,Receita diversificada,3,0.327,Algumas,Série A+,Reconhecimento forte,Não,Baixo,Claro e executado,0,Quase tudo,Parcialmente,Algumas,37,Experiência parcial,Às vezes,0.487,DRE e auditoria,57.11
2202,1725337,17785068,5.8,Serviço,5107.66,1–2 clientes >50%,4,0.053,Poucas,Série A+,Algum reconhecimento,"Sim, forte",Alto,Claro e executado,90,Parcialmente,Sim,Algumas,162,Experiência parcial,Às vezes,0.253,DRE e auditoria,70.46
1996,192561,770781,4.7,Serviço,9419.65,1–2 clientes >50%,2,0.271,Nenhuma,Não,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,7,Quase tudo,Sim,Não,116,Sem experiência,Às vezes,0.063,Não existem controles,33.3
2757,470562,2322000,3.4,Serviço,376.93,1–2 clientes >50%,5,0.355,Algumas,Série A+,Reconhecimento forte,Ocasionalmente,Médio,Não existe,20,Quase tudo,Sim,Não,41,Sem experiência,Nunca,0.073,Controles básicos,51.59
2999,8427,637485,2.7,Produto,183.27,1–2 clientes >50%,4,0.036,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,Ocasionalmente,Médio,Claro e executado,69,Parcialmente,Sim,"Sim, regularmente",63,Experiência forte,Nunca,0.146,Controles básicos,57.69
3914,62591,1333176,1.4,Serviço,22865.48,1–2 clientes >50%,2,0.216,Nenhuma,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Alto,Não existe,28,Quase nada,Sim,Não,50,Sem experiência,Nunca,0.104,Controles básicos,36.39
710,12375,108797,0.0,Serviço,327.62,3–5 clientes >50%,1,0.354,Nenhuma,Série A+,Algum reconhecimento,Não,Médio,Claro e executado,-5,Quase tudo,Parcialmente,Algumas,52,Experiência forte,Às vezes,0.353,DRE e auditoria,38.35
1311,83197,712876,0.2,Serviço,9668.86,Receita diversificada,2,0.287,Nenhuma,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Alto,Não existe,12,Quase nada,Não,Algumas,138,Sem experiência,Às vezes,0.269,DRE e auditoria,38.66
4261,3799,148168,0.6,Produto,64.73,Receita diversificada,2,0.381,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,Não,Alto,Não existe,4,Parcialmente,Parcialmente,Algumas,110,Experiência forte,Nunca,0.297,DRE e auditoria,43.52
4636,875177,95387,3.4,Serviço,6352.24,1–2 clientes >50%,3,0.26,Nenhuma,Série A+,Reconhecimento forte,Ocasionalmente,Alto,Não existe,76,Quase tudo,Sim,Não,122,Sem experiência,Às vezes,0.348,DRE e auditoria,51.15
4564,253093,18106112,3.6,Serviço,3043.16,1–2 clientes >50%,1,0.232,Poucas,Seed/Pré-Série A,Não reconhecida,Não,Baixo,Claro e executado,46,Quase tudo,Não,"Sim, regularmente",177,Sem experiência,Nunca,0.092,Controles básicos,44.17
4670,37995,108236,5.5,Produto,335.33,3–5 clientes >50%,1,0.241,Poucas,Série A+,Algum reconhecimento,Ocasionalmente,Médio,Parcial,90,Quase nada,Parcialmente,Não,59,Sem experiência,Às vezes,0.445,DRE e auditoria,46.76
4403,449958,152045,7.2,Serviço,9874.94,Receita diversificada,1,0.162,Poucas,Série A+,Não reconhecida,Não,Baixo,Parcial,32,Quase tudo,Não,Algumas,66,Experiência parcial,Regularmente,0.274,Não existem controles,39.72
3726,82669,132566,3.0,Serviço,1590.48,1–2 clientes >50%,3,0.04,Algumas,Série A+,Algum reconhecimento,"Sim, forte",Baixo,Claro e executado,8,Quase tudo,Não,Algumas,98,Experiência forte,Nunca,0.019,Não existem controles,43.68
4974,16477,1576254,5.5,Produto,857.76,1–2 clientes >50%,3,0.052,Muitas,Seed/Pré-Série A,Não reconhecida,Ocasionalmente,Baixo,Não existe,72,Quase tudo,Sim,Não,132,Sem experiência,Nunca,0.362,DRE e auditoria,66.94
4694,75145,102761,7.4,Serviço,5518.6,1–2 clientes >50%,1,0.07,Poucas,Série A+,Não reconhecida,"Sim, forte",Alto,Claro e executado,43,Quase nada,Não,"Sim, regularmente",57,Experiência parcial,Nunca,0.183,Não existem controles,39.22
4666,55832,2426893,5.6,Produto,2089.44,1–2 clientes >50%,5,0.106,Poucas,Não,Algum reconhecimento,Ocasionalmente,Baixo,Claro e executado,69,Quase nada,Não,"Sim, regularmente",22,Experiência parcial,Às vezes,0.403,DRE e auditoria,54.37
3162,68902,4911632,1.8,Serviço,333.05,Receita diversificada,2,0.196,Algumas,Aceleradora/Anjo,Reconhecimento forte,"Sim, forte",Médio,Claro e executado,36,Parcialmente,Sim,"Sim, regularmente",105,Experiência forte,Regularmente,0.312,Não existem controles,46.75
1521,21396,400414,0.3,Serviço,334.84,Receita diversificada,2,0.358,Nenhuma,Aceleradora/Anjo,Algum reconhecimento,"Sim, forte",Médio,Parcial,78,Quase nada,Não,"Sim, regularmente",59,Experiência parcial,Às vezes,0.404,Controles básicos,42.13
1764,74181,786471,7.5,Produto,13.5,1–2 clientes >50%,4,0.236,Poucas,Série A+,Algum reconhecimento,"Sim, forte",Baixo,Não existe,65,Quase nada,Parcialmente,Não,19,Experiência forte,Regularmente,0.199,Não existem controles,38.38
2488,69216,129366,6.5,Serviço,135.58,3–5 clientes >50%,3,0.065,Muitas,Série A+,Reconhecimento forte,Ocasionalmente,Alto,Não existe,65,Quase nada,Sim,"Sim, regularmente",93,Experiência forte,Nunca,0.492,Não existem controles,50.9
827,47435,666402,2.7,Produto,30.73,1–2 clientes >50%,5,0.324,Muitas,Seed/Pré-Série A,Não reconhecida,"Sim, forte",Médio,Não existe,30,Parcialmente,Sim,Algumas,185,Experiência parcial,Às vezes,0.32,Controles básicos,57.52
3045,96975,1151049,9.1,Serviço,1642.9,3–5 clientes >50%,5,0.073,Nenhuma,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Alto,Não existe,3,Parcialmente,Não,"Sim, regularmente",106,Sem experiência,Nunca,0.143,Não existem controles,38.55
4724,373772,221989,7.8,Serviço,1335.23,3–5 clientes >50%,1,0.132,Poucas,Série A+,Não reconhecida,"Sim, forte",Baixo,Claro e executado,85,Quase tudo,Parcialmente,Não,175,Experiência forte,Nunca,0.358,DRE e auditoria,60.61
4411,1410974,817617,9.9,Serviço,47773.29,Receita diversificada,4,0.125,Poucas,Seed/Pré-Série A,Algum reconhecimento,Não,Médio,Não existe,52,Quase tudo,Parcialmente,"Sim, regularmente",155,Experiência forte,Às vezes,0.455,DRE e auditoria,68.63
2587,65510,547013,4.8,Produto,4822.36,1–2 clientes >50%,3,0.12,Nenhuma,Não,Algum reconhecimento,Não,Baixo,Parcial,75,Parcialmente,Parcialmente,"Sim, regularmente",66,Experiência parcial,Às vezes,0.198,Não existem controles,37.96
3736,48586,232329,4.8,Serviço,1853.52,Receita diversificada,1,0.391,Muitas,Seed/Pré-Série A,Reconhecimento forte,"Sim, forte",Baixo,Claro e executado,49,Parcialmente,Não,Algumas,76,Experiência forte,Regularmente,0.219,DRE e auditoria,60.69
3326,319681,993352,6.0,Produto,34.44,Receita diversificada,3,0.377,Algumas,Aceleradora/Anjo,Não reconhecida,"Sim, forte",Alto,Parcial,30,Quase nada,Sim,"Sim, regularmente",176,Experiência forte,Às vezes,0.04,Controles básicos,63.69
1970,1576788,2287273,6.5,Produto,826.82,1–2 clientes >50%,5,0.254,Poucas,Seed/Pré-Série A,Reconhecimento forte,Ocasionalmente,Alto,Não existe,81,Quase nada,Sim,Algumas,105,Experiência forte,Regularmente,0.312,Controles básicos,60.65
2940,13415,9912225,7.0,Produto,977.28,Receita diversificada,5,0.257,Nenhuma,Série A+,Algum reconhecimento,Ocasionalmente,Médio,Claro e executado,3,Quase nada,Parcialmente,Algumas,119,Experiência parcial,Às vezes,0.112,DRE e auditoria,43.02
1159,153654,12256872,3.3,Serviço,1472.76,1–2 clientes >50%,3,0.036,Nenhuma,Não,Algum reconhecimento,Ocasionalmente,Médio,Claro e executado,81,Quase nada,Sim,"Sim, regularmente",87,Sem experiência,Nunca,0.213,Não existem controles,42.49
3037,1293,149216,2.2,Produto,4545.59,Receita diversificada,4,0.397,Algumas,Não,Reconhecimento forte,Não,Médio,Parcial,91,Parcialmente,Não,Algumas,24,Sem experiência,Regularmente,0.136,Não existem controles,39.01
1880,53134,804124,2.3,Serviço,699.44,Receita diversificada,5,0.311,Poucas,Seed/Pré-Série A,Não reconhecida,"Sim, forte",Médio,Claro e executado,24,Quase nada,Não,Algumas,186,Experiência parcial,Às vezes,0.18,DRE e auditoria,47.15
2539,1616566,3507744,3.3,Produto,26.53,1–2 clientes >50%,5,0.083,Nenhuma,Série A+,Não reconhecida,"Sim, forte",Alto,Parcial,57,Quase nada,Parcialmente,Algumas,32,Experiência parcial,Às vezes,0.143,Não existem controles,40.87
367,72014,528651,7.1,Produto,3683.48,1–2 clientes >50%,1,0.257,Nenhuma,Seed/Pré-Série A,Reconhecimento forte,Não,Baixo,Claro e executado,-5,Parcialmente,Parcialmente,"Sim, regularmente",147,Experiência parcial,Nunca,0.321,Controles básicos,32.31
1727,1478026,83398,4.8,Serviço,427.99,1–2 clientes >50%,3,0.347,Poucas,Não,Reconhecimento forte,Ocasionalmente,Alto,Parcial,20,Quase tudo,Sim,Algumas,137,Experiência parcial,Nunca,0.183,DRE e auditoria,55.21
